Package Identifier,Length (cm),Width (cm),Height (cm),Weight (kg),Type (P/E),Cost of Delay
108,52,79,55,21,Economy,102
109,96,99,98,227,Economy,94
110,84,52,65,38,Priority,-
111,69,53,71,66,Economy,77
112,48,45,65,14,Economy,134
113,64,88,61,38,Economy,70
114,49,76,69,44,Economy,84
115,87,43,91,51,Economy,90
116,50,87,52,34,Economy,119
117,86,80,41,40,Economy,130
118,59,70,95,97,Priority,-
119,95,79,87,73,Priority,-
120,95,78,84,81,Economy,103
121,76,77,67,71,Economy,92
122,75,47,87,50,Economy,98
123,81,97,52,66,Priority,-
124,77,70,72,69,Economy,136
125,62,71,79,44,Priority,-
126,75,54,55,33,Economy,127
127,55,41,57,28,Economy,127
128,40,71,70,23,Economy,127
129,43,51,87,28,Economy,107
130,91,86,53,67,Economy,117
131,72,79,50,31,Economy,102
132,53,47,58,28,Economy,133
133,69,76,91,47,Economy,133
134,45,84,99,73,Economy,106
135,63,56,97,41,Economy,115
136,80,63,45,46,Economy,96
137,69,89,80,119,Economy,114
138,68,89,50,42,Economy,83
139,45,86,59,26,Economy,71
140,72,54,92,40,Priority,-
141,50,83,75,37,Economy,98
142,54,40,97,25,Economy,116
143,63,76,89,83,Economy,69
144,42,65,55,28,Economy,121
145,56,41,54,24,Economy,68
146,63,67,79,84,Economy,113
147,82,86,83,96,Economy,98
148,93,98,88,178,Economy,79
149,85,89,57,93,Priority,-
150,91,72,73,45,Economy,87
151,42,72,50,34,Priority,-
152,85,56,65,55,Economy,75
153,70,72,85,49,Economy,71
154,48,80,93,38,Economy,68
155,61,62,60,52,Economy,127
156,70,66,75,58,Economy,91
157,71,44,53,22,Priority,-
158,71,96,74,47,Economy,115
159,80,68,82,46,Priority,-
160,67,47,97,72,Economy,88
161,59,70,72,43,Priority,-
162,66,50,93,36,Economy,74
163,94,81,76,103,Economy,107
164,79,41,46,36,Economy,114
165,88,98,88,65,Economy,111
166,50,72,69,47,Priority,-
167,78,93,83,134,Priority,-
168,84,75,42,58,Economy,129
169,45,48,82,20,Economy,76
170,60,41,72,34,Economy,70
171,41,40,75,11,Priority,-
172,48,64,82,53,Priority,-
173,69,89,68,41,Economy,121
174,94,63,95,116,Priority,-
175,92,44,85,58,Priority,-
176,61,46,96,67,Economy,132
177,87,42,49,16,Priority,-
178,93,44,76,36,Economy,69
179,55,43,47,26,Priority,-
180,85,43,81,55,Economy,129
181,47,92,48,51,Priority,-
182,72,58,87,64,Economy,96
183,80,63,56,54,Priority,-
184,54,56,52,35,Economy,76
185,96,55,40,47,Economy,103
186,60,98,63,68,Priority,-
187,46,85,55,52,Economy,110
188,77,55,84,57,Economy,121
189,98,50,67,36,Economy,67
190,70,51,76,60,Economy,110
191,98,44,45,23,Economy,94
192,66,75,86,39,Economy,138
193,55,84,84,41,Economy,72
194,61,85,92,71,Economy,69
195,81,53,54,48,Economy,66
196,95,57,40,24,Economy,105
197,52,46,79,34,Economy,66
198,81,95,90,129,Economy,133
199,98,65,50,29,Economy,132
200,83,58,65,53,Priority,-
201,56,75,56,44,Economy,132
202,80,59,46,31,Economy,100
203,89,81,88,58,Economy,133
204,80,64,50,35,Economy,62
205,43,69,86,25,Economy,87
206,75,75,77,72,Priority,-
207,49,83,52,33,Economy,67
208,81,95,46,74,Priority,-
209,65,70,96,65,Priority,-
210,95,41,89,63,Economy,99
211,95,81,85,143,Economy,69
212,96,42,70,26,Priority,-
213,70,87,53,50,Priority,-
214,58,59,97,57,Priority,-
215,96,49,90,68,Economy,89
216,58,85,40,49,Priority,-
217,54,41,58,32,Economy,96
218,66,63,84,66,Economy,87
219,67,94,84,126,Economy,126
220,91,73,42,51,Economy,72
221,54,94,43,24,Economy,60
222,62,67,96,34,Priority,-
223,93,92,95,164,Economy,93
224,89,99,58,77,Economy,115
225,95,73,68,83,Economy,133
226,75,89,68,99,Priority,-
227,74,56,67,24,Economy,94
228,55,48,70,25,Economy,96
229,78,87,49,59,Economy,90
230,93,91,91,159,Economy,63
231,53,72,90,33,Economy,66
232,51,42,94,33,Priority,-
233,80,97,85,125,Economy,133
234,85,55,85,73,Economy,131
235,64,69,77,82,Economy,87
236,93,71,77,115,Economy,118
237,71,49,54,31,Economy,89
238,47,71,55,32,Economy,83
239,64,54,67,21,Priority,-
240,91,73,72,67,Economy,73
241,96,97,48,81,Economy,119
242,63,42,72,28,Economy,100
243,55,42,48,19,Economy,70
244,75,44,95,56,Economy,70
245,76,62,88,54,Economy,60
246,65,72,73,71,Economy,118
247,45,96,88,83,Economy,74
248,84,46,94,64,Economy,132
249,55,88,94,43,Economy,116
250,43,50,58,23,Economy,101
251,62,76,95,84,Economy,78
252,51,67,56,25,Economy,70
253,75,83,60,43,Economy,90
254,41,60,61,33,Economy,77
255,91,73,51,33,Economy,136
256,49,47,75,44,Economy,126
257,84,69,72,51,Economy,120
258,99,60,93,67,Economy,100
259,75,49,88,61,Economy,111
260,94,84,56,82,Economy,65
261,94,96,60,90,Economy,125
262,98,86,84,105,Economy,112
263,96,97,47,85,Economy,64
264,95,53,54,50,Priority,-
265,67,86,73,44,Economy,132
266,77,83,89,56,Priority,-
267,59,52,76,30,Priority,-
268,77,50,62,41,Priority,-
269,95,88,43,46,Economy,95
270,55,93,97,94,Economy,71
271,81,59,87,44,Economy,74
272,59,87,69,30,Priority,-
273,47,86,60,41,Priority,-
274,48,85,92,93,Economy,122
275,44,63,93,62,Economy,78
276,66,65,77,75,Economy,81
277,48,56,84,36,Economy,115
278,96,48,61,33,Economy,119
279,56,44,44,24,Economy,116
280,49,62,99,39,Priority,-
281,60,64,74,27,Economy,109
282,57,61,48,28,Economy,121
283,91,79,52,86,Economy,114
284,82,98,55,97,Priority,-
285,78,56,41,26,Economy,133
286,70,45,91,61,Economy,60
287,76,49,83,43,Priority,-
288,71,78,96,62,Economy,68
289,55,61,99,58,Economy,92
290,45,41,51,13,Priority,-
291,65,90,89,64,Economy,101
292,40,50,75,18,Economy,86
293,68,68,75,75,Priority,-
294,46,88,67,49,Economy,87
295,94,90,63,89,Economy,79
296,82,61,93,50,Economy,128
297,79,87,54,35,Priority,-
298,48,49,89,34,Economy,60
299,98,69,58,71,Economy,62
300,67,43,96,56,Economy,60
301,78,46,50,39,Economy,85
302,48,68,99,37,Economy,62
303,85,93,60,94,Economy,115
304,57,93,62,30,Economy,126
305,82,64,91,92,Priority,-
306,75,41,64,28,Priority,-
307,94,74,56,97,Economy,85
308,48,48,92,52,Economy,131
309,86,82,98,101,Economy,105
310,73,94,72,83,Priority,-
311,95,72,54,69,Economy,90
312,44,61,75,22,Economy,60
313,66,56,87,37,Economy,110
314,57,40,51,27,Economy,91
315,68,54,49,22,Priority,-
316,77,71,66,54,Priority,-
317,77,44,57,35,Priority,-
318,63,90,44,33,Economy,91
319,86,56,82,48,Economy,107
320,55,42,67,21,Economy,110
321,59,79,88,81,Economy,130
322,51,57,93,68,Economy,122
323,82,84,48,74,Economy,135
324,57,75,63,65,Economy,98
325,71,88,84,112,Priority,-
326,57,53,44,15,Economy,116
327,56,83,50,51,Economy,62
328,75,69,45,34,Economy,77
329,89,68,74,111,Economy,66
330,95,97,52,103,Priority,-
331,52,84,53,25,Economy,78
332,62,79,68,35,Economy,64
333,99,51,77,88,Priority,-
334,42,68,72,47,Economy,138
335,86,83,53,68,Economy,87
336,67,63,58,53,Economy,86
337,40,81,80,36,Economy,117
338,52,92,80,52,Economy,107
339,57,72,96,49,Economy,129
340,47,51,86,24,Economy,132
341,69,99,87,145,Economy,97
342,56,53,81,46,Economy,111
343,74,96,58,91,Economy,88
344,84,40,60,31,Economy,97
345,83,40,50,40,Economy,118
346,46,80,85,73,Economy,116
347,43,91,92,86,Economy,88
348,87,49,60,45,Economy,92
349,74,76,49,63,Economy,118
350,94,77,63,77,Economy,131
351,78,56,74,29,Economy,117
352,89,87,56,108,Economy,108
353,91,45,50,45,Economy,134
354,41,51,50,18,Economy,91
355,98,87,99,116,Economy,134
356,94,62,42,44,Economy,129
357,75,99,49,31,Economy,98
358,78,95,85,76,Economy,137
359,70,69,45,33,Economy,76
360,89,87,93,98,Economy,127
361,70,92,48,74,Economy,104
362,68,74,81,44,Economy,115
363,61,61,63,46,Economy,64
364,69,89,52,48,Economy,121
365,99,82,63,59,Economy,106
366,91,76,50,47,Economy,117
367,96,50,99,52,Economy,86
368,97,52,94,55,Priority,-
369,54,76,90,80,Economy,91
370,85,88,93,66,Economy,135
371,61,80,49,21,Economy,111
372,61,73,96,86,Priority,-
373,86,91,90,177,Economy,95
374,90,53,55,62,Economy,65
375,76,89,68,63,Economy,117
376,43,71,88,30,Economy,138
377,93,50,44,34,Economy,88
378,47,48,93,27,Economy,115
379,73,45,84,49,Economy,118
380,74,91,78,47,Economy,128
381,52,74,86,68,Priority,-
382,71,72,51,64,Priority,-
383,77,60,54,52,Priority,-
384,59,80,87,62,Economy,118
385,57,60,87,37,Economy,117
386,52,84,53,40,Economy,111
387,66,55,75,36,Priority,-
388,91,40,56,32,Economy,83
389,88,42,85,44,Economy,76
390,83,77,51,78,Economy,97
391,68,75,97,115,Priority,-
392,78,66,71,44,Priority,-
393,55,51,59,21,Economy,139
394,76,96,95,105,Priority,-
395,99,74,41,62,Priority,-
396,49,73,96,83,Priority,-
397,51,76,53,45,Economy,112
398,94,94,69,93,Economy,103
399,69,70,87,98,Economy,85
400,46,74,78,38,Economy,127
