Package Identifier,Length (cm),Width (cm),Height (cm),Weight (kg),Type (P/E),Cost of Delay
P-227,59,73,96,58,Economy,118
P-385,64,48,40,23,Economy,113
P-118,90,82,75,55,Economy,114
P-146,100,45,56,46,Economy,92
P-84,94,66,78,41,Economy,82
P-293,56,104,56,78,Economy,81
P-262,103,92,109,99,Economy,65
P-223,83,92,109,145,Economy,66
P-311,79,101,43,26,Economy,69
P-246,60,102,61,58,Economy,106
P-197,109,82,99,68,Economy,85
P-37,59,76,51,33,Economy,131
P-318,86,75,99,47,Economy,89
P-43,51,86,108,87,Economy,109
P-38,84,96,48,21,Economy,60
P-193,72,87,67,113,Economy,75
P-191,100,71,94,123,Economy,64
P-123,43,62,40,7,Economy,75
P-343,107,67,77,98,Economy,130
P-287,99,86,84,94,Economy,110
P-206,60,47,41,29,Economy,85
P-292,63,100,93,46,Economy,66
P-175,66,88,96,127,Economy,121
P-380,41,56,62,22,Economy,102
P-83,106,105,99,168,Economy,97
P-80,43,85,44,20,Economy,127
P-382,102,106,43,41,Economy,130
P-260,43,49,99,20,Economy,65
P-355,45,60,52,42,Economy,72
P-91,91,92,50,89,Economy,76
P-322,45,66,102,72,Economy,104
P-7,88,78,93,117,Economy,102
P-340,103,90,49,66,Economy,98
P-149,63,45,104,76,Economy,84
P-194,71,48,109,97,Economy,116
P-388,99,89,97,88,Economy,134
P-122,77,104,46,67,Economy,105
P-272,75,64,40,54,Economy,133
P-33,90,89,73,132,Economy,136
P-101,102,82,76,154,Economy,109
P-164,102,40,87,99,Economy,124
P-189,56,63,87,66,Economy,121
P-374,81,71,101,169,Economy,96
P-40,70,45,90,78,Economy,106
P-99,71,70,68,28,Economy,108
P-237,97,74,101,193,Economy,97
P-26,69,56,73,56,Economy,130
P-12,48,80,88,27,Economy,117
P-296,92,81,93,50,Economy,60
P-65,50,78,110,56,Economy,121
P-254,99,51,79,101,Economy,72
P-44,84,40,49,28,Economy,87
P-171,50,55,93,55,Economy,110
P-169,48,87,94,102,Economy,136
P-372,110,84,79,182,Economy,96
P-1,99,53,55,61,Economy,176
P-29,62,86,53,23,Economy,122
P-53,44,53,106,14,Economy,74
P-88,70,106,62,106,Economy,74
P-21,105,71,105,223,Economy,116
P-384,69,73,60,16,Economy,97
P-131,82,80,79,84,Economy,109
P-4,108,75,56,73,Economy,138
P-155,95,87,47,95,Economy,99
P-35,83,72,63,96,Economy,103
P-67,76,57,101,34,Economy,65
P-153,62,64,51,59,Economy,62
P-137,59,110,96,108,Economy,120
P-132,92,102,42,115,Economy,77
P-64,100,56,104,123,Economy,62
P-27,93,62,49,18,Economy,122
P-244,76,62,75,24,Economy,111
P-342,63,66,78,83,Economy,85
P-90,44,98,102,119,Economy,60
P-56,65,68,109,77,Economy,85
P-159,50,92,52,15,Economy,66
P-102,70,106,64,70,Economy,135
P-395,60,108,73,112,Economy,107
P-258,71,55,82,43,Economy,138
P-376,101,101,89,73,Economy,96
P-335,91,57,95,47,Economy,140
P-334,65,99,54,103,Economy,102
P-74,73,87,69,115,Economy,61
P-249,89,67,55,66,Economy,88
P-358,81,60,74,55,Economy,93
P-77,96,50,65,57,Economy,88
P-225,54,68,93,52,Economy,98
P-13,55,94,87,41,Economy,73
P-247,98,62,79,61,Economy,136
P-357,40,58,56,15,Economy,110
P-286,93,75,73,133,Economy,102
P-182,45,70,78,42,Economy,65
P-289,70,43,66,28,Economy,79
P-25,44,77,53,37,Economy,108
P-393,44,47,65,23,Economy,133
P-31,71,49,76,67,Economy,76
P-185,42,67,100,52,Economy,133
P-66,50,47,86,53,Economy,72
P-387,42,47,96,37,Economy,140
P-373,62,84,72,108,Economy,105
P-177,44,41,99,17,Economy,77
P-301,61,72,69,76,Economy,72
P-347,53,105,102,96,Economy,116
P-245,53,105,80,61,Economy,67
P-294,88,93,44,30,Economy,69
P-241,71,74,91,25,Economy,115
P-367,54,69,106,74,Economy,106
P-8,108,105,76,142,Economy,108
P-392,87,63,40,59,Economy,74
P-234,43,65,104,60,Economy,101
P-166,84,62,103,142,Economy,134
P-242,89,69,53,48,Economy,118
P-138,85,80,89,142,Economy,87
P-269,58,56,74,25,Economy,85
P-230,46,48,86,44,Economy,82
P-263,56,83,98,33,Economy,107
P-370,106,47,100,95,Economy,68
P-195,102,57,72,62,Economy,90
P-154,64,103,91,47,Economy,118
P-30,88,85,102,164,Economy,70
P-364,68,53,110,29,Economy,94
P-62,43,92,88,25,Economy,84
P-87,54,53,107,84,Economy,116
P-51,57,86,97,65,Economy,67
P-19,51,87,69,73,Economy,107
P-170,100,81,44,39,Economy,120
P-228,98,92,51,128,Economy,75
P-397,80,51,59,51,Economy,81
P-39,96,64,61,61,Economy,111
P-253,91,49,99,99,Economy,98
P-381,64,48,69,60,Economy,87
P-24,81,109,55,123,Economy,69
P-344,55,89,92,111,Economy,95
P-176,60,62,102,42,Economy,87
P-313,91,54,54,73,Economy,120
P-316,105,103,71,201,Economy,123
P-268,84,63,100,99,Economy,95
P-190,108,101,52,143,Economy,128
P-326,84,51,45,17,Economy,136
P-140,84,106,65,60,Economy,119
P-209,75,44,72,57,Economy,74
P-178,78,69,96,97,Economy,98
P-85,47,68,44,42,Economy,74
P-336,49,68,72,33,Economy,114
P-235,80,105,84,61,Economy,95
P-309,104,91,60,135,Economy,66
P-324,68,40,41,27,Economy,122
P-362,75,61,86,99,Economy,92
P-308,57,64,110,62,Economy,87
P-119,41,79,104,25,Economy,61
P-383,85,103,60,61,Economy,83
P-369,84,75,58,92,Economy,110
P-34,87,45,81,45,Economy,77
P-339,54,76,76,80,Economy,94
P-60,60,85,87,23,Economy,84
P-312,90,97,56,121,Economy,120
P-174,107,101,47,107,Economy,127
P-302,64,106,65,98,Economy,84
P-271,41,44,92,30,Economy,63
P-341,72,87,57,50,Economy,109
P-78,74,104,42,85,Economy,116
P-143,82,100,106,206,Economy,76
P-399,45,44,89,22,Economy,63
P-11,55,80,81,23,Economy,96
P-114,80,93,104,175,Economy,124
P-257,67,51,54,40,Economy,103
P-307,43,82,96,100,Economy,123
P-323,72,98,97,183,Economy,129
P-298,44,91,86,57,Economy,83
P-220,44,104,71,80,Economy,137
P-200,74,74,83,81,Economy,95
P-108,47,109,70,95,Economy,90
P-338,46,88,87,75,Economy,70
P-52,104,88,102,96,Economy,121
P-151,44,106,79,23,Economy,89
P-158,72,107,95,135,Economy,61
P-328,50,78,82,57,Economy,72
P-371,91,52,48,50,Economy,106
P-14,45,46,81,27,Economy,68
P-79,86,62,75,61,Economy,91
P-152,67,57,49,39,Economy,73
P-184,88,96,74,129,Economy,84
P-205,47,40,109,24,Economy,107
P-116,106,109,83,132,Economy,128
P-305,53,58,63,22,Economy,104
P-63,75,69,85,111,Economy,116
P-208,89,50,102,117,Economy,127
